Sector,"Employment <br><i style=""font-size:80%;"">May 2023</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,6,60,Annual Growth Rate,Unemployment Rate
Accommodation and Food Services,130.4,130.4,138.8,138.5,138.8,134.0,135.4,134.0,123.9,130.1,134.3,133.9,132.8,140.9,132.1,133.9,137.3,146.1,146.3,146.6,145.9,141.8,105.9,67.8,81.8,98.3,117.1,124.8,114.9,111.0,112.6,104.5,85.2,101.8,111.4,97.4,89.9,121.8,124.0,128.6,127.2,119.3,118.3,122.1,116.3,125.2,134.1,131.4,132.1,132.6,130.9,127.3,129.1,128.5,130.2,124.9,119.5,119.0,123.5,128.7,135.4,130.4,0.0,5.163636363636359
Construction,251.3,236.1,236.9,246.7,247.5,244.2,243.8,227.1,217.5,216.4,216.6,220.5,226.9,237.6,243.0,250.8,250.0,244.4,236.5,235.6,211.4,209.6,218.9,181.5,197.5,222.9,233.5,236.0,236.2,237.1,223.7,208.6,207.3,210.7,214.7,217.7,228.4,228.0,242.6,242.0,237.1,228.3,229.1,234.8,216.7,222.6,220.4,223.6,242.1,249.2,257.0,253.2,250.0,257.6,230.2,226.0,224.7,217.6,218.8,228.0,243.8,251.3,1.2556580175060006,4.01069518716578
Digital Economy,237.0,169.8,169.79999999999998,175.2,179.7,180.7,185.00000000000003,184.6,193.1,186.5,180.1,184.7,178.4,178.1,172.10000000000002,172.20000000000002,165.79999999999998,166.0,163.60000000000002,183.2,188.3,187.2,197.00000000000003,200.6,198.4,215.3,203.3,205.00000000000003,210.4,209.0,221.3,191.6,192.0,185.7,190.5,206.5,209.0,211.5,215.7,208.0,224.1,212.9,218.60000000000005,212.0,212.5,220.5,217.7,221.3,240.4,245.10000000000005,254.8,259.1,239.90000000000003,238.7,236.3,249.6,243.8,249.8,253.9,248.4,185.00000000000003,237.0,6.896166785313929,4.474002418379685
Educational Services,178.8,149.0,120.2,124.5,140.2,148.9,149.2,153.4,154.1,154.7,151.3,150.8,150.1,155.2,124.2,125.8,155.5,156.9,156.5,158.5,156.2,155.5,151.3,140.0,134.6,130.0,114.1,113.6,150.6,153.7,160.4,159.9,162.2,162.8,179.0,172.4,175.6,176.8,138.5,146.4,173.7,181.2,171.9,171.5,174.4,183.2,179.5,178.4,180.2,176.9,140.1,133.6,165.1,168.2,166.3,171.3,171.3,167.7,174.5,168.5,149.2,178.8,3.713728933664817,1.1608623548922004
Health Care and Social Assistance,320.2,270.6,274.5,277.2,270.0,278.1,279.9,282.3,282.6,281.7,276.2,279.8,282.4,280.4,279.6,283.5,286.8,294.4,293.8,295.7,292.4,296.3,268.8,267.1,266.6,288.5,286.7,285.3,280.6,292.1,295.6,301.4,302.6,305.7,307.1,306.6,306.9,299.8,303.2,301.3,305.6,310.5,310.1,316.0,316.4,311.8,310.8,315.3,303.4,306.0,310.2,302.1,306.7,305.4,312.9,308.9,312.8,319.1,319.7,319.3,279.9,320.2,3.4233752686668284,1.8995098039215619
Manufacturing,139.2,135.2,133.2,137.0,136.8,132.0,136.5,139.5,132.1,130.9,127.7,132.9,132.4,133.3,134.1,135.4,139.0,134.9,137.5,136.4,136.5,139.9,134.3,119.7,128.3,116.6,120.8,121.2,121.9,124.8,120.7,126.3,120.8,117.6,118.9,128.7,133.5,126.5,127.5,130.4,124.7,123.6,123.0,120.0,129.5,128.0,129.7,126.6,125.2,128.7,126.0,133.5,136.4,131.0,133.0,138.3,137.5,144.2,141.8,142.0,136.5,139.2,0.5848352082942432,4.853041695146976
"Mining, Quarrying, Oil and Gas",131.1,143.4,143.5,144.9,142.9,140.1,144.8,142.4,144.3,147.6,143.7,140.4,140.8,138.2,135.7,130.8,133.5,137.3,132.7,131.7,132.4,130.1,135.9,124.2,122.1,118.6,118.3,115.8,118.4,128.3,129.8,132.7,139.3,138.4,136.6,132.6,134.4,141.1,147.5,140.0,145.5,137.1,136.8,142.4,140.2,143.3,143.7,135.8,138.9,128.3,131.8,132.2,125.8,126.4,125.5,126.7,133.0,138.0,133.5,126.8,144.8,131.1,-1.7775623558276776,3.31858407079646
Other Services,100.9,107.2,113.3,113.3,113.9,112.3,108.3,109.3,109.0,106.1,105.7,109.9,109.4,103.3,111.0,110.8,106.6,101.4,96.1,95.4,99.8,101.7,90.9,70.0,81.5,88.3,94.1,94.8,97.8,104.2,100.6,94.7,97.8,98.0,102.6,103.2,91.3,101.0,93.9,90.5,88.7,86.9,86.7,90.6,89.6,92.9,88.5,85.2,92.4,96.4,102.6,99.1,98.5,96.7,103.9,102.3,98.2,97.8,93.1,94.2,108.3,100.9,-1.204019400729217,3.9961941008563207
"Professional, Scientific and Technical Services",243.9,178.6,176.0,175.2,170.1,168.6,172.0,169.4,172.6,172.7,171.6,172.7,177.5,180.0,180.0,178.7,180.7,184.0,185.3,181.2,181.1,179.3,180.5,165.0,163.0,166.6,169.0,183.4,179.9,178.9,170.7,173.4,181.8,178.3,180.2,187.3,190.4,191.2,197.4,196.3,189.7,193.0,197.8,199.4,193.6,201.0,196.3,204.3,212.4,220.0,225.0,229.1,227.5,233.9,241.7,242.5,249.2,245.0,246.4,254.7,172.0,243.9,6.430491845141195,2.5958466453674167
