Profession,"Emploi <br><i style=""font-size:80%;"">Peut 2025</i>","Salaire médian <br><i style=""font-size:80%;"">2021</i>"
"Professionnels/professionnelles en publicité, en marketing et en relations publiques ^CNP 11202^",46100.0,45200.0
"Développeurs/développeuses et programmeurs/programmeuses de logiciels ^<span style=""text-decoration: underline;"">[CNP 21232](https://etalentcanada.ca/fr/carrieres/developpeursdeveloppeuses-et-programmeursprogrammeuses-de-logiciels)</span>^",30300.0,84000.0
"Spécialistes en informatique ^<span style=""text-decoration: underline;"">[CNP 21222](https://etalentcanada.ca/fr/carrieres/specialistes-en-informatique)</span>^",27400.0,78500.0
"Designers graphiques et illustrateurs/illustratrices ^<span style=""text-decoration: underline;"">[CNP 52120](https://etalentcanada.ca/fr/carrieres/designers-graphiques-et-illustrateursillustratrices)</span>^",26400.0,44800.0
"Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel ^<span style=""text-decoration: underline;"">[CNP 21231](https://etalentcanada.ca/fr/carrieres/ingenieursingenieures-et-concepteursconceptrices-en-logiciel)</span>^",23200.0,101000.0
"Agents/agentes de soutien aux utilisateurs ^<span style=""text-decoration: underline;"">[CNP 22221](https://etalentcanada.ca/fr/carrieres/agentsagentes-de-soutien-aux-utilisateurs)</span>^",23200.0,59200.0
"Gestionnaires des systèmes informatiques ^<span style=""text-decoration: underline;"">[CNP 20012](https://etalentcanada.ca/fr/carrieres/gestionnaires-des-systemes-informatiques)</span>^",16000.0,112000.0
"Directeurs/directrices de la publicité, du marketing et des relations publiques ^CNP 10022^",9600.0,66000.0
"Analystes de bases de données et administrateurs/administratrices de données ^<span style=""text-decoration: underline;"">[CNP 21223](https://etalentcanada.ca/fr/carrieres/analystes-de-bases-de-donnees-et-administrateursadministratrices-de-donnees)</span>^",9600.0,72500.0
"Scientifiques de données ^<span style=""text-decoration: underline;"">[CNP 21211](https://etalentcanada.ca/fr/carrieres/scientifiques-de-donnees)</span>^",7600.0,83000.0
"Spécialistes de la cybersécurité ^<span style=""text-decoration: underline;"">[CNP 21220](https://etalentcanada.ca/fr/carrieres/specialistes-de-la-cybersecurite)</span>^",6800.0,91000.0
"Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques ^<span style=""text-decoration: underline;"">[CNP 21230](https://etalentcanada.ca/fr/carrieres/developpeursdeveloppeuses-et-programmeursprogrammeuses-de-systemes-informatiques)</span>^",6600.0,76500.0
Autres ingénieurs/ingénieures ^CNP 21399^,6400.0,96000.0
Électriciens industriels/électriciennes industrielles ^72201^,6400.0,94000.0
"Techniciens/techniciennes de réseau informatique et Web ^<span style=""text-decoration: underline;"">[CNP 22220](https://etalentcanada.ca/fr/carrieres/technicienstechniciennes-de-reseau-informatique-et-web)</span>^",6300.0,68500.0
"Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes ^<span style=""text-decoration: underline;"">[CNP 21310](https://etalentcanada.ca/fr/carrieres/ingenieurs-electriciens-et-electroniciensingenieures-electriciennes-et-electroniciennes)</span>^",6100.0,91000.0
"Développeurs/développeuses et programmeurs/programmeuses Web ^<span style=""text-decoration: underline;"">[CNP 21234](https://etalentcanada.ca/fr/carrieres/developpeursdeveloppeuses-et-programmeursprogrammeuses-web)</span>^",5800.0,58400.0
"Directeurs/directrices des services de génie ^<span style=""text-decoration: underline;"">[CNP 20010](https://etalentcanada.ca/fr/carrieres/directeursdirectrices-des-services-de-genie)</span>^",5600.0,116000.0
"<i style=""font-size:80%;""><sup>†</sup></i> Spécialistes des systèmes commerciaux ^<span style=""text-decoration: underline;"">[CNP 21221](https://etalentcanada.ca/fr/carrieres/specialistes-des-systemes-commerciaux)</span>^",5600.0,77500.0
Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications ^CNP 72204^,3600.0,72500.0
