Secteur,"Emploi <br><i style=""font-size:80%;"">Octobre 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,189000.0,193.1,187.1,174.2,176.7,177.9,154.5,165.6,183.1,190.2,202.1,191.8,181.4,181.1,173.2,170.4,167.3,173.2,184.4,186.2,189.2,190.4,195.2,190.7,186.3,187.4,187.1,187.7,188.4,194.4,206.5,203.5,204.2,214.4,214.3,195.2,193.6,185.0,181.4,179.1,174.2,174.2,183.0,189.9,191.9,197.0,195.9,179.3,185.6,197.3,192.2,186.3,185.0,191.3,184.7,177.6,192.7,196.6,196.6,198.6,189.0,-0.42830364002317545,8.695652173913048
Agriculture,20900.0,32.6,27.2,23.2,21.6,23.4,24.4,20.6,21.2,21.6,19.1,18.9,20.3,19.5,18.9,19.5,21.2,23.0,21.2,25.0,23.3,28.9,29.3,26.1,23.4,19.3,21.1,18.3,24.2,21.6,23.1,27.9,27.2,28.5,30.7,23.7,25.2,20.9,20.3,17.6,16.0,16.6,16.4,17.4,18.2,24.6,21.4,16.8,14.6,13.4,10.9,8.2,10.4,11.6,16.4,14.3,14.0,17.0,20.1,20.7,20.9,-8.50744891067925,1.4150943396226467
Construction,261100.00000000003,218.3,230.5,226.6,224.3,228.8,230.5,230.6,224.7,245.0,245.1,235.1,232.8,215.7,215.7,210.5,219.1,222.0,229.9,240.6,244.6,246.3,254.3,245.6,245.7,244.4,246.9,250.6,249.2,249.0,247.8,241.5,239.8,222.0,222.5,227.9,235.1,234.7,230.2,227.6,236.5,238.9,243.5,243.1,250.8,262.4,256.9,249.5,246.2,255.6,250.4,252.0,250.6,254.0,256.2,268.1,268.7,265.3,272.5,266.4,261.1,3.6455420612905742,4.916241806263654
L'économie numérique,376300.0,313.0,313.3,322.7,321.6,317.29999999999995,343.2,325.1,325.0,332.3,334.2,338.70000000000005,348.9,342.2,339.2,352.8,351.3,339.80000000000007,329.5,330.9,345.90000000000003,340.19999999999993,352.6,345.1,345.5,338.9,320.4,326.79999999999995,315.40000000000003,329.5,308.9,319.5,327.80000000000007,337.0,344.29999999999995,348.1,344.49999999999994,341.1,353.4,339.6,338.5,333.1,342.7,342.40000000000003,361.8,347.4,345.9,343.6,368.5,363.0,365.7000000000001,357.6,362.8,372.6,353.9,378.5,371.4999999999999,374.8,378.0,372.5999999999999,376.3,3.752358086794927,3.239907431216238
Services d'enseignement,236600.0,195.1,196.9,190.4,200.1,196.2,193.4,189.5,188.0,159.2,146.0,190.4,190.6,195.9,196.7,200.3,208.4,195.1,196.3,194.0,197.1,167.8,162.8,212.2,212.3,220.8,222.4,221.6,222.8,221.2,226.7,226.7,222.8,181.0,185.8,235.3,233.8,234.8,231.9,231.6,237.4,226.2,233.5,224.3,221.1,178.2,180.9,222.9,227.6,226.3,230.5,234.6,237.9,232.9,231.2,235.1,229.4,186.2,175.7,228.3,236.6,3.9325287693456223,2.110053785684729
Finance and insurance,126100.0,112.7,111.9,110.0,115.5,115.2,112.8,117.5,121.4,123.0,125.2,119.0,106.7,114.9,105.2,106.2,109.9,108.4,109.8,113.2,105.9,102.3,102.8,102.5,100.7,103.2,110.9,110.3,115.7,114.8,119.0,125.2,121.4,119.1,114.1,112.0,107.1,106.2,114.0,109.0,113.5,122.3,112.1,123.0,124.8,120.6,119.2,107.9,111.8,105.1,110.9,104.6,118.8,116.3,121.2,120.7,124.1,123.9,124.7,135.2,126.1,2.272349737023305,1.407349491790466
Forestry and fishing,11600.0,20.2,21.0,18.5,19.3,18.5,20.7,22.4,20.6,23.1,20.2,23.4,19.9,17.1,17.4,15.3,16.1,19.7,20.0,22.5,23.1,22.6,21.7,19.7,15.1,16.4,15.6,11.9,14.2,14.1,12.8,15.5,16.5,17.7,15.2,13.5,18.0,16.7,18.8,17.3,17.7,19.4,19.8,19.2,20.3,16.8,18.4,10.7,11.9,11.8,12.4,14.4,14.5,16.9,17.3,22.0,21.1,17.2,17.8,14.0,11.6,-10.500352678681057,10.769230769230775
Soins de santé et assistance sociale,408400.0,331.0,333.8,338.6,338.8,349.1,344.9,344.2,351.1,356.5,357.7,355.2,361.7,366.1,374.2,371.0,374.8,372.3,369.1,378.7,372.5,369.9,373.3,376.3,373.5,371.1,366.5,366.3,376.5,370.4,366.1,375.5,385.2,392.3,385.2,384.3,388.3,397.1,408.6,407.3,407.7,417.6,415.5,415.4,405.5,411.5,405.4,405.4,408.0,406.9,413.4,403.3,408.2,414.8,414.5,423.2,421.1,417.9,407.5,407.0,408.4,4.292132547650618,1.5191704846877263
Secteur des technologies de l'information et des communications,204600.0,169.2,172.9,170.3,173.5,170.1,179.4,185.9,180.3,180.0,183.5,170.1,184.8,171.5,178.8,186.8,192.3,197.4,193.5,189.5,205.3,195.9,205.8,201.1,199.6,192.0,166.7,177.9,172.3,176.5,164.0,164.8,175.9,178.3,178.8,179.9,180.4,179.5,184.6,180.7,187.5,175.5,185.2,192.3,193.0,195.1,195.1,185.0,205.4,196.6,184.5,183.8,194.6,201.6,183.4,189.6,200.2,210.2,203.8,198.2,204.6,3.8726123651631195,4.123711340206193
"Information, culture et loisirs",127900.0,115.3,108.3,119.6,117.5,126.4,115.3,123.8,129.4,126.2,141.2,136.8,137.1,133.8,140.7,142.1,146.1,144.5,136.6,148.0,147.1,163.2,164.6,151.3,150.9,152.2,143.4,147.8,145.6,146.7,133.1,134.8,142.4,142.0,141.6,139.3,132.6,132.6,148.2,145.4,152.0,145.7,161.1,148.8,152.9,155.5,157.1,142.9,141.6,135.2,132.6,130.3,133.5,140.7,141.8,137.6,142.1,145.3,129.0,129.4,127.9,2.0958871966480386,7.786589762076412
"Management, administration and other support services",92100.0,103.2,108.1,97.6,99.4,104.0,108.9,111.4,106.9,111.2,99.2,95.8,89.3,86.9,87.7,77.7,76.1,82.2,83.8,89.6,91.2,93.9,92.7,93.4,91.7,93.1,95.6,88.8,88.9,92.0,96.6,91.5,92.1,93.5,97.2,96.4,90.3,89.8,80.2,85.2,88.3,88.4,91.2,97.6,101.9,100.4,94.9,93.9,101.3,96.6,96.7,93.8,96.7,93.1,92.9,95.9,99.2,100.8,100.0,93.2,92.1,-2.2501754449270495,4.062500000000002
Fabrication,189800.0,175.2,181.9,174.5,167.2,175.7,187.7,180.3,183.9,176.6,191.9,191.9,193.8,206.1,198.7,195.1,196.9,191.3,192.6,184.3,193.2,185.9,182.6,176.4,187.6,181.3,183.9,176.5,180.2,178.6,176.0,175.4,179.0,174.5,171.3,167.8,168.5,183.5,182.7,172.9,174.7,180.9,173.2,179.0,184.1,184.5,180.3,180.3,178.5,173.2,181.9,185.9,187.1,192.3,188.8,186.3,187.3,182.9,184.6,186.4,189.8,1.6137364741595661,3.8500506585612992
"Mining, quarrying, oil and gas extraction",28200.0,29.9,28.8,28.5,29.2,30.3,28.2,30.7,30.3,29.8,26.0,25.4,28.3,27.0,26.4,28.9,27.3,24.8,24.2,23.8,25.5,27.4,25.9,27.7,34.4,34.0,33.9,32.1,31.2,30.5,31.3,34.8,32.7,35.3,40.9,42.6,38.8,37.2,36.1,33.6,34.5,33.7,30.8,34.0,34.1,38.9,39.3,43.8,44.4,39.5,35.4,33.1,33.9,27.5,23.4,23.8,25.2,28.6,27.9,29.3,28.2,-1.1639036702713157,4.081632653061218
Other services (except public administration),112300.0,110.5,104.3,107.4,113.7,106.9,108.2,112.8,114.4,119.2,113.5,107.7,103.3,103.1,100.9,100.2,98.9,101.9,101.4,103.2,104.6,101.4,104.4,102.1,101.2,102.2,102.8,105.4,106.9,105.6,110.4,110.4,107.5,111.1,114.2,118.7,118.2,117.2,115.8,121.9,123.3,125.5,122.9,118.7,116.6,120.0,121.5,118.0,120.8,112.1,108.6,107.3,113.0,104.9,113.2,107.7,111.9,120.8,118.3,119.2,112.3,0.3236895626489211,4.830508474576279
"Services professionnels, scientifiques et techniques",310200.0,247.3,249.5,256.3,260.3,266.0,272.3,268.3,280.7,275.6,268.4,263.4,259.2,266.4,263.9,258.4,277.7,285.4,288.7,285.1,289.7,287.4,282.8,291.6,294.5,285.0,283.8,274.1,275.5,276.8,273.4,282.8,289.5,295.9,296.8,302.8,312.6,293.7,295.1,292.8,300.8,298.2,304.2,311.4,299.5,293.9,293.3,295.9,299.7,303.1,307.9,312.8,309.6,310.8,306.9,321.0,322.6,319.0,317.8,307.3,310.2,4.636579742863112,2.1759697256386157
