Secteur,"Emploi <br><i style=""font-size:80%;"">Novembre 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,1188200.0,910.0,818.7,887.1,917.9,851.1,874.1,970.4,1031.0,1104.0,1047.3,1020.0,1016.1,1015.2,870.6,976.5,1008.2,1026.8,1054.8,1071.0,1110.8,1108.9,1061.7,1072.8,1068.0,1076.1,1067.2,1075.7,1093.3,1109.0,1151.4,1158.1,1212.7,1191.7,1142.1,1125.7,1114.2,1109.9,1058.3,1083.8,1074.8,1114.2,1163.4,1189.3,1210.2,1192.1,1139.0,1140.5,1149.9,1150.6,1127.6,1133.1,1141.8,1150.8,1168.4,1201.9,1237.3,1237.4,1185.0,1177.3,1188.2,5.479880995965236,4.951603871690258
Agriculture,229900.0,267.7,249.5,251.4,261.9,271.7,282.6,278.1,281.0,271.9,258.3,254.3,248.3,232.9,232.9,236.4,239.8,249.1,270.4,275.0,280.7,287.9,273.2,274.2,260.7,260.7,242.1,241.3,246.7,251.7,274.4,268.1,287.7,276.6,262.4,267.1,248.9,228.8,211.9,207.6,211.2,214.4,233.6,247.8,259.7,260.0,244.4,239.7,228.3,221.3,218.6,214.7,210.6,222.1,236.4,234.4,231.3,238.4,242.5,241.4,229.9,-2.998573727386644,4.526578073089704
Construction,1630300.0,1420.1,1357.6,1357.4,1376.8,1417.0,1468.0,1494.2,1543.8,1548.2,1528.3,1509.4,1485.7,1446.4,1389.0,1436.6,1454.7,1490.0,1576.2,1610.7,1652.9,1640.8,1611.2,1619.1,1586.8,1563.8,1511.6,1519.4,1523.3,1561.6,1640.1,1660.5,1652.1,1673.2,1629.7,1640.1,1629.5,1571.3,1491.0,1524.6,1554.7,1580.5,1610.2,1627.9,1673.3,1676.3,1655.6,1657.2,1637.9,1598.6,1552.2,1571.6,1578.8,1609.5,1651.9,1694.5,1693.7,1709.2,1667.0,1647.1,1630.3,2.7991965210081515,4.111281025761682
L'économie numérique,2575800.0,2089.4,2109.0,2065.0,2068.1,2106.3,2121.7000000000003,2169.7,2208.9,2222.1,2264.4,2262.8,2313.3,2261.7,2292.9,2291.1000000000004,2277.0,2285.7000000000003,2313.0,2388.9,2364.5999999999995,2371.4,2296.5,2263.2000000000003,2271.3,2309.5,2320.1,2313.3,2333.7,2340.7,2295.9,2369.4,2426.4,2448.0,2407.4,2424.3,2499.9,2477.7,2418.8,2468.7000000000003,2425.1,2445.6000000000004,2452.3,2477.7,2494.3,2477.9,2489.5999999999995,2494.0000000000005,2466.1000000000004,2474.6000000000004,2479.9,2511.8,2467.8,2459.1000000000004,2570.5,2517.3,2554.3,2546.7,2563.8,2618.4,2575.8,4.274498471418986,3.5750383708306854
Services d'enseignement,1666800.0,1481.2,1451.9,1515.7,1531.5,1484.3,1471.4,1473.5,1194.7,1197.5,1490.6,1524.5,1529.5,1545.5,1513.0,1561.8,1539.0,1543.0,1548.0,1531.4,1217.3,1181.6,1489.6,1535.0,1553.2,1548.9,1551.6,1570.8,1551.6,1567.3,1565.2,1534.5,1239.9,1217.3,1559.0,1608.5,1612.9,1610.6,1636.8,1634.2,1619.1,1615.4,1596.7,1601.2,1284.8,1284.8,1595.5,1633.4,1660.9,1674.0,1664.7,1676.5,1655.6,1666.6,1660.5,1626.1,1347.5,1305.5,1630.6,1657.9,1666.8,2.38915472316501,2.2060549166862287
Finance and insurance,1064000.0,943.5,960.5,952.1,941.9,949.2,962.2,961.1,979.1,973.4,984.7,966.2,966.9,969.7,968.7,978.7,987.4,997.1,1012.1,995.6,1000.7,995.2,975.9,990.0,1011.4,1012.3,1015.4,1010.5,1017.0,1038.3,1039.3,1039.0,1052.0,1042.9,998.4,984.9,985.4,1022.6,1028.8,1029.7,1034.0,1005.6,1045.4,1039.7,1044.5,1044.1,1037.0,1025.1,1033.1,1051.2,1060.5,1072.9,1079.9,1106.6,1112.9,1119.7,1100.9,1096.3,1091.2,1071.2,1064.0,2.433012362915443,2.3315586561410084
Forestry and fishing,54900.0,73.0,63.1,59.0,59.5,68.1,80.7,80.7,78.0,65.9,72.2,64.3,59.7,61.7,64.0,58.2,63.2,64.7,83.8,76.5,70.7,65.9,62.8,51.3,48.4,50.0,45.8,49.4,45.9,44.8,64.4,68.9,60.5,54.6,51.4,53.6,47.9,54.4,53.6,57.8,56.9,60.4,75.9,72.5,65.6,63.6,46.3,45.6,45.5,44.9,48.9,52.1,58.9,61.5,78.2,74.8,66.8,63.2,54.1,50.0,54.9,-5.539574646272616,16.944024205748864
Soins de santé et assistance sociale,2937700.0,2441.9,2450.3,2458.7,2504.8,2494.4,2508.8,2546.5,2562.8,2546.1,2535.7,2551.2,2571.6,2573.8,2580.0,2607.3,2607.6,2589.6,2610.6,2617.6,2621.7,2630.9,2626.1,2640.5,2643.9,2610.1,2648.7,2673.4,2665.0,2649.9,2657.8,2698.2,2738.8,2733.2,2709.0,2725.2,2726.1,2734.7,2728.0,2738.6,2785.6,2787.9,2820.0,2827.4,2853.5,2869.6,2849.0,2852.6,2858.7,2863.5,2858.6,2868.6,2879.8,2856.3,2880.8,2916.8,2907.4,2906.5,2896.8,2889.0,2937.7,3.766200205274828,1.554907677356665
Secteur des technologies de l'information et des communications,1245800.0,1050.8,1020.4,1007.9,1013.8,1013.5,1033.4,1052.5,1051.9,1080.8,1093.9,1113.2,1108.8,1089.6,1085.2,1111.2,1095.2,1078.9,1109.1,1166.4,1136.2,1165.1,1119.0,1093.0,1099.3,1100.5,1113.5,1077.7,1100.9,1101.6,1094.1,1144.0,1146.4,1177.4,1179.9,1180.3,1215.8,1210.6,1178.5,1185.5,1179.6,1188.5,1179.1,1202.7,1232.5,1228.8,1204.1,1206.8,1185.3,1186.3,1205.3,1224.7,1194.9,1192.0,1217.4,1211.1,1229.0,1201.9,1207.4,1243.6,1245.8,3.4631394807520532,4.689771249330576
"Information, culture et loisirs",830200.0,634.3,610.9,622.5,665.6,645.6,680.7,733.6,808.4,818.9,742.7,754.2,750.0,747.8,697.1,786.4,774.7,778.1,847.5,849.8,919.6,900.0,800.7,790.7,775.9,794.0,804.2,803.4,804.3,807.9,867.9,899.1,954.6,942.3,823.0,836.7,814.9,815.0,805.8,814.1,801.7,814.4,846.4,866.6,941.0,931.2,846.0,828.7,809.4,815.3,813.9,824.4,797.6,818.5,879.2,913.7,942.8,926.9,815.6,838.5,830.2,5.5304046767629345,5.744777475022699
