NOC,Occupation,Employment,Median_Wage,suffix
,,"<span style=""font-size:80%;"">_Jan 2023_</span>","<span style=""font-size:80%;"">_2021_</span>",
15,"Senior managers - trade, broadcasting and other services&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 0015](https://www.etalentcanada.ca/job-market-information/senior-managers-trade-broadcasting-other-services/)</span>^",25,114400,**
211,"Engineering managers&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 0211](https://www.etalentcanada.ca/job-market-information/engineering-managers/)</span>^",538,107827.2,**
213,"Computer and information systems managers&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 0213](https://www.etalentcanada.ca/job-market-information/computer-and-information-systems-managers/)</span>^",1144,100796.8,**
601,Corporate sales managers&nbsp;‡ ^NOC 0601^,359,96012.8,**
1123,"Professional occupations in advertising, marketing and public relations&nbsp;‡ ^NOC 1123^",3345,54392,**
1253,Records management technicians&nbsp;‡ ^NOC 1253^,112,50710.4,**
2133,"Electrical and electronics engineers&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2133](https://www.etalentcanada.ca/job-market-information/electrical-and-electronics-engineers/)</span>^",1066,98883.2,**
2147,"Computer engineers&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2147](https://www.etalentcanada.ca/job-market-information/computer-engineers-except-software-engineers-and-designers/)</span>^",227,92788.8,**
2148,Other professional engineers&nbsp;‡ ^NOC 2148^,509,86548.8,**
2161,"Mathematicians, statisticians and actuaries&nbsp;‡ ^NOC 2161^",160,89502.4,**
2171,"Information systems analysts and consultants&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2171](https://www.etalentcanada.ca/job-market-information/information-systems-analysts-and-consultants/)</span>^",3499,85404.8,**
2172,"Database analysts and data administrators&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2172](https://www.etalentcanada.ca/job-market-information/database-analysts-and-data-administrators/)</span>^",807,69992,**
2173,"Software engineers and designers&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2173](https://www.etalentcanada.ca/job-market-information/software-engineers-and-designers/)</span>^",605,75004.8,**
2174,"Computer programmers and interactive media developers&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2174](https://www.etalentcanada.ca/job-market-information/computer-programmers-and-interactive-media-developers/)</span>^",3011,75004.8,**
2175,"Web designers and developers&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2175](https://www.etalentcanada.ca/job-market-information/web-designers-and-developers/)</span>^",589,59238.4,**
2241,"Electrical and electronics engineering technologists and technicians&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2241](https://www.etalentcanada.ca/job-market-information/electrical-and-electronics-engineering-technologists-and-technicians/)</span>^",1058,71572.8,**
2281,"Computer network technicians&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2281](https://www.etalentcanada.ca/job-market-information/computer-network-technicians/)</span>^",1469,69992,**
2282,"User support technicians&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2282](https://www.etalentcanada.ca/job-market-information/user-support-technicians/)</span>^",2968,54995.2,**
2283,"Information systems testing technicians&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 2283](https://www.etalentcanada.ca/job-market-information/information-systems-testing-technicians/)</span>^",195,62982.4,**
4163,Business development officers and marketing researchers and consultants&nbsp;‡ ^NOC 4163^,666,69992,**
5223,"Graphic arts technicians&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 5223](https://www.etalentcanada.ca/job-market-information/graphic-arts-technicians/)</span>^",74,49524.8,**
5224,Broadcast technicians&nbsp;‡ ^NOC 5224^,45,46217.6,**
5241,"Graphic designers and illustrators&nbsp;‡ ^<span style=""text-decoration: underline;"">[NOC 5241](https://www.etalentcanada.ca/job-market-information/graphic-designers-and-illustrators/)</span>^",1314,50003.2,**
7241,Electricians (except industrial and power system) ^NOC 7241^,7900,68640,
7242,Industrial electricians&nbsp;† ^NOC 7242^,1183,80080,*
7243,Power system electricians&nbsp;‡ ^NOC 7243^,255,97364.8,**
7244,Electrical power line and cable workers&nbsp;‡ ^NOC 7244^,1014,94224,**
7245,Telecommunications line and cable workers&nbsp;‡ ^NOC 7245^,245,67288,**
7246,Telecommunications installation and repair workers&nbsp;‡ ^NOC 7246^,749,62816,**
7247,Cable television service and maintenance technicians&nbsp;‡ ^NOC 7247^,211,58240,**
