Sector,emp0,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,emp22,emp23,emp24,emp25,emp26,emp27,emp28,emp29,emp30,emp31,emp32,emp33,emp34,emp35,emp36,emp37,emp38,emp39,emp40,emp41,emp42,emp43,emp44,emp45,emp46,emp47,emp48,emp49,emp50,emp51,emp52,emp53,emp54,emp55,emp56,emp57,emp58,emp59,emp60,Employment,suffix,Unemployment_Rate
"Total, all industries",640700,644800,638300,633900,632000,633100,630800,628900,624600,627700,632300,632800,647700,653900,652500,651300,644200,649300,644100,641300,632200,632600,636900,642400,654500,665200,652800,656500,651700,655600,655400,652200,650100,646700,650300,652300,664400,664900,657000,661600,656500,658000,649800,653000,652400,655700,631000,569800,594800,629700,635300,641400,653200,654600,631000,622300,621600,639200,645800,652400,661100,661100,,7.0182843
Digital Economy,39100,38700,39500,35600,37600.004,39300,40200,41400,42000,43900,46100,43400,40100,42300,41200,40600,39000,41899.996,43499.996,45400,42600,42600.004,42699.996,40300.004,41300.004,41300.004,40800,39300,38800,38900,39800.004,38400,40900,41399.996,42900,41500,39000,39500,41000,41200,39100,37200,39100,39400,36500,36200,40200,39100,45300.004,46000,46500,51200,47699.996,43000,45100,46700,45500,45200,42800.004,46900,44700,44700,,2.4017384
Other services,29700,29300,29500,28600,26400,26900,27700,28300,27900,27700,26600,26300,27300,27200,27800,27900,25500,27200,27500,28300,28500,28900,30000,28900,30400,29900,29300,29500,28700,29500,29900,28400,28400,28600,27000,26700,27600,27200,26900,27600,26900,27000,27600,28400,27900,28300,26600,24400,26200,28300,29900,30800,29900,30300,29200,26000,28100,30100,30900,30000,27400,27400,,8.666667
Construction,48500,50400,51300,49700,49600,49000,48900,43600,39800,42600,45700,45500,49000,50300,51700,52700,51500,52800,48200,44400,43700,42400,42300,42700,45200,51100,49400,50100,49900,51400,52500,47600,47700,45700,49200,50500,53700,53300,54800,54800,53800,52000,49400,48300,45400,44500,44000,40200,44800,50300,50200,50100,51600,51200,46600,45800,44500,45300,46900,47000,51400,51400,,3.3834586
Transportation and warehousing,34400,35400,35700,35200,34800,35200,35700,35600,36000,37000,35700,36400,36300,35600,35400,36200,37100,36200,36700,35500,37300,35900,36400,37100,37700,38800,41100,40800,39400,39800,41600,41100,41800,43500,44200,43500,43300,43200,42500,41300,41500,40200,39000,39200,39700,40700,40400,35900,36600,37600,36800,38500,41600,41400,40500,40300,39600,40600,39000,40800,40300,40300,,2.1844661
"Professional, scientific and technical services",28700,28200,26800,27800,27700,27200,27600,27500,27500,28100,28300,28800,28600,28900,28700,28200,27800,28300,28800,28200,28100,29400,30300,29200,29900,29300,29000,28900,29400,29500,30100,31200,31000,29300,29300,29300,29000,29800,29200,30700,30300,29300,29200,30300,30700,31300,32000,29700,30900,31200,33300,32300,31400,32000,30700,30500,31200,32000,32900,32800,32500,32500,,3.2738094
Wholesale and retail trade,90300,89900,90100,90000,87600,88700,88400,89400,88600,87700,90700,91700,92200,91200,92300,91700,90800,90100,91600,92600,88100,89900,89600,89500,88200,88300,89100,90900,87400,86900,88300,88300,85900,85200,84900,86400,88200,89200,90500,90800,89300,89800,91300,92100,91800,93400,86400,74200,81500,86600,88500,91400,90100,90300,92700,92100,89700,94500,94300,95200,95600,95600,,5.15873
Health care and social assistance,101800,102500,103400,102100,102400,98500,98500,99900,100700,99900,99400,99300,101700,102400,103000,103900,98900,101600,101600,103000,100000,101600,102900,104300,103600,103800,106500,106900,103800,105900,104500,106000,105900,104600,105200,106400,104400,101100,103100,103700,103700,104300,107000,106900,107900,108400,104600,93200,93500,97800,100700,101400,102000,102500,102200,100800,100300,102000,102800,104400,106400,106400,,1.6635859
Accommodation and food services,42900,42700,42700,41900,40000,39200,39200,39100,38600,39300,39700,40600,42700,42800,43400,43200,42700,43800,44000,45200,43700,44700,43700,42200,42900,44700,45000,43700,40800,41400,42600,43200,42700,41500,43000,42800,42500,43500,42700,42200,41000,42900,42400,43700,43400,42300,36100,25000,28000,34700,38900,38100,37100,36800,27100,26800,26900,29600,30800,32000,31000,31000,,12.921349
Manufacturing,62800,61900,63400,64699.996,64300.004,64600,63800,63100,63100,64300.004,64199.996,64300.004,63400,63900,65900,66600,63300,62500,61800,62000,60600,60600,59400,61700,62700,62500,63100,61700,63600,63400,62700,64100,64699.996,66900,66700,65500,67600,67100,64900,65900,63200,63900,62100,61600,62900,62800,61800,57000,56600,57700,59900,58700,60300,61100,61100,60500,62100,63800,64100,65199.996,64699.996,64699.996,,3.576757
Educational services,53200,52700,39500,38700,47800,51400,50600,53200,53600,53900,53700,51900,51200,52700,41800,38400,53600,54500,54000,54300,54900,54300,55600,56000,54400,54600,36900,38800,53100,53400,54800,54200,55000,53600,52600,51500,53800,53500,39100,40800,53400,54400,54200,56200,57000,57200,55900,54200,51400,50300,41400,43300,60300,60400,59800,59100,59000,60900,60700,61700,61600,61600,,1.7543859
Public administration,31100,32599.998,33800,33500,32900,32400.002,32700,32300,32599.998,31900,33000,33400,34000,33900,34000,33900,32500,31800,31000,30500,30700,31000,31900,34000,35200,35900,37100,37900,35900,34700,33600,34800,34300,34700,35100,35400,36400,37300,38900,39600,36000,36600,35100,34600,34600,33700,34900,33900,36000,37600,38300,37800,36000,37000,34700,34400,35100,35700,36200,36200,38500,38500,,2.2842638
