Occupation,"Employment <br><i style=""font-size:80%;"">July 2024</i>","Median Income <br><i style=""font-size:80%;"">2021</i>"
"Software developers and programmers ^<span style=""text-decoration: underline;"">[NOC 21232](https://etalentcanada.ca/careers/software-developers-and-programmers)</span>^",1400.0,75000.0
"Professional occupations in advertising, marketing and public relations ^NOC 11202^",1300.0,48000.0
"Computer and information systems managers ^<span style=""text-decoration: underline;"">[NOC 20012](https://etalentcanada.ca/careers/computer-and-information-systems-managers)</span>^",1300.0,100000.0
"Information systems specialists ^<span style=""text-decoration: underline;"">[NOC 21222](https://etalentcanada.ca/careers/information-systems-specialists)</span>^",1200.0,82000.0
Other professional engineers ^NOC 21399^,1000.0,108000.0
"User support technicians ^<span style=""text-decoration: underline;"">[NOC 22221](https://etalentcanada.ca/careers/user-support-technicians)</span>^",1000.0,63200.0
"Graphic designers and illustrators ^<span style=""text-decoration: underline;"">[NOC 52120](https://etalentcanada.ca/careers/graphic-designers-and-illustrators)</span>^",900.0,36800.0
62100 Technical sales specialists - wholesale trade,900.0,84000.0
Telecommunications equipment installation and cable television service technicians ^NOC 72205^ ,700.0,67000.0
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",600.0,71000.0
