Secteur,emp0,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,emp22,emp23,emp24,emp25,emp26,emp27,emp28,emp29,emp30,emp31,emp32,emp33,emp34,emp35,emp36,emp37,emp38,emp39,emp40,emp41,emp42,emp43,emp44,emp45,emp46,emp47,emp48,emp49,emp50,emp51,emp52,emp53,emp54,emp55,emp56,emp57,emp58,emp59,emp60,Emploi,Taux_de_chômage
Services d'hébergement et de restauration,228500,241600,247800,247200,243600,238200,228800,226300,221700,213600,212100,213000,218700,228600,233700,232300,228700,225800,226500,223700,220500,211900,211600,211400,217700,228300,233200,235800,235700,231800,227900,224200,223400,219300,218400,218300,223100,231000,234500,238500,236800,231700,229900,224900,217400,213100,214300,207000,184000,201700,211900,219100,224700,222600,225800,224900,219600,211200,195800,207800,212000,212000,16.00634
Agriculture,13000,12900,13000,13700.001,13600,13700.001,12700.001,14100,14100,13599.999,15100,16600,14700.001,15400,15100,14200.001,13800,11599.999,11600,10500,11599.999,11300,12300,11800,12799.999,13700,12800,13300,13700,15300,15400,14299.999,15400,15600,15700.001,13400,13100,12000,13600,13799.999,12500,14600,14800,14000,14900,12900.001,13300,12800,10599.999,11300,14900,13200,17700,16200.001,14299.999,14000,13500,14300.001,14200.001,14600,14700,14700,8.125
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",38000,39500,39400,40900,40600,40200,39700,38500,39200,39600,38500,40100,41700,41400,40300,40500,40300,38800,38800,38000,37400,37600,38200,39100,39700,39900,40200,41300,40700,40100,39100,40400,40500,40800,40100,40400,40400,40600,39600,40200,39900,38000,39200,38300,38500,37800,37900,38700,37700,38200,37600,40000,42100,42000,42800,42300,44400,44000,43600,44600,43900,43900,3.7280703
Construction,42800,42300,43800,45100,44800,42400,41100,40200,42000,41000,40700,41000,41100,41900,41500,41800,41100,38800,38700,39400,39800,37900,37100,36400,36500,38500,37600,37500,38100,37800,38300,38400,38900,36200,35300,34300,35600,36700,35800,35500,35300,36100,36900,38100,37200,35700,36200,33300,29800,32400.002,34900,32800,33900,34700,38100,36700,37900,35200,32400.002,36900,36800,36800,8.4577112
L'économie numérique,13900,15000,15100,16600,15500,15300,14700,14500,14200,13900,14700,14400,14200,14700,14500,14300,14100,13900,13500,14400,15600,14700,14600,14800,15600,15300,16100,18400,19000,17200,16700,16800,17100,17600,17700,17700,17600,18300,18300,18500,18900,18300,17900,18000,17800,17400,16000,15200,14400,16600,16200.001,18300,18600,17600,17700,18900,18300,18300,18000,18700,18600,18600,4.1237111
Services d'enseignement,15600,14700,15000,12200,11500,14500,15100,15700,16400,15700,15500,15500,16100,16000,15100,12300,12600,16100,16600,16900,16700,16299.999,16200.001,16400,16299.999,16500,16299.999,13600,13200,14900,15700,16000,15900,15700,16000,16400,15600,15500,16200.001,12800,13100,17600,17300,17400,16200.001,18100,17600,17500,17000,17700,14500,11800,12300,17200,17000,17700,17500,17400,15500,16000,16700,16700,3.4682081
Finance et assurances,19200,22700,25400,25200,24800,25600,24400,23700,19900,17300,16400,17400,18500,20400,23400,23600,24900,23300,25200,22100,18500,17700,19500,16600,17200,20200,21600,21900,22500,23400,23500,20500,17900,16400,16600,15900,17600,18200,20500,22300,23300,22900,22100,20900,17500,15700,15300,15000,12000,12100,15300,16800,16700,18500,20000,19100,15000,13600,11200,13100,11600,11600,40.512821
"Foresterie, pêche et chasse",11800,12600,13900,12000,11800,9200,8400,7600,7600,6400,6600,6200,7600,11400,12000,11700,10400,10000,9200,9200,9200,8300,6600,7800,9400,10600,10700,10900,10300,8500,9300,8600,8800,7200,8100.0005,7500,8600,10100,10600,11800,10700,9900,9200,8300,8600,7800,7400,7300,6000,8900,9900,8800,9600,10900,10400,9300,7500,7400,6400,7900,11400,11400,12.977099
Soins de santé et assistance sociale,14600,17200,17600,18500,18200,17000,15000,14700,13700,13000,11900,12200,11900,13600,15000,16000,15600,17100,15100,15000,15100,14600,14000,14000,14800,16400,17500,18100,17800,16800,14600,14500,14900,15400,15400,16600,16100,18200,18100,19800,19100,16500,16600,16200.001,16700,16000,16800,14400,12300,13800,17200,17100,17500,16100,15200,15600,15200,13000,10200,10300,10900,10900,9.166667
Secteur des technologies de l'information et des communications,9900,10100,10200,10200,10200,10300,10300,10500,10600,10500,10400,10000,10500,10200,10000,10200,9200,8800,8500,8800,8000,8000,8500,8600,9000,9200,10500,10400,10200,11300,10900,11100,10000,10000,10300,10700,10500,10300,9300,9800,9300,8400,8400,9200,8900,8100.0005,8200,8900,8400,8900,9700,10100,10300,10300,10000,10400,11000,10600,9800,9900,10100,10100,2.8846154
"Information, culture et loisirs",11700,12600,12700,12200,12300,13100,11200,11700,11300,10500,12000,11300,11700,11300,11200,10900,10300,11400,11800,11100,10800,11300,11800,11800,12100,11300,11100,9300,9400,9100,9600,8600,8000,7500,8700,9300,9800,9500,10500,11000,11300,11800,11800,11600,11700,11400,12200,11600,9000,9000,10600,10400,11500,9500,9400,8700,7500,8800,7300,7500,8500,8500,4.4943819
Fabrication,7000,7100,7300,7100,7100,6700,6400,6400,6200,6200,6200,5700,6500,7300,7500,8700,8200,6800,6800,6900,5800,5800,5700,5700,5600,5900,5600,6100,6500,7000,6600,6200,6500,7100,6900,6800,7200,7500,8500,8200,8000,8800,8300,7400,6000,7100,6800,6900,6400,6300,7200,7800,7400,5700,5700,5600,5400,6000,6600,6900,8000,8000,14.893617
