Secteur,emp0,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,emp22,emp23,emp24,emp25,emp26,emp27,emp28,emp29,emp30,emp31,emp32,emp33,emp34,emp35,emp36,emp37,emp38,emp39,emp40,emp41,emp42,emp43,emp44,emp45,emp46,emp47,emp48,emp49,emp50,emp51,emp52,emp53,emp54,emp55,emp56,emp57,emp58,emp59,emp60,Emploi,suffix,Taux_de_chômage
Ensemble des industries,432200,445500,452900,451500,451300,444900,444900,442000,440200,430200,425300,429600,434100,450100,453400,455900,449400,446300,446200,441900,446600,433200,435900,436800,445300,456100,459000,463600,459500,456400,457000,451900,454300,447300,446700,447500,452700,471900,474000,469300,467900,469100,467000,461400,459900,451000,454000,428200,385800,408000,440500,443300,445500,453100,455000,460200,452300,449600,453500,454300,458400,458400,,8.8124132
L'économie numérique,30700,31700,31800,34400,34600,31500,32300,31700,32300.004,31800,28400,30900.002,29300,32300,32200,32099.998,35900,32800,32099.998,34000,34200,34300,35500,36400,33200,31599.998,30900.002,29900,32000,32599.998,31400,32099.998,34300,38300,35600,36100,37200,38600,36700,32700,36000,35200,34500,34400,35700,36100,39200,38300,32900,35000,39100,40500,42399.996,38900,39300.004,41300,43500,38700,38300,36600,39100,39100,,6.009624
Fabrication,28200,30300,30800,30000,30700,30600,30300,29000,28100,25700,24900,26000,28000,32700,34500,33300,34400,32300,32800,32700,31100,29800,29100,28900,30700,33800,34500,34700,32400.002,33300,32700,32599.998,30800,29200,29100,32000,30100,32000,31500,32000,33000,31900,32800,32400.002,34000,32099.998,32500,31800,28600,30000,32700,32800,32900,31500,31500,32300,31800,30700,31100,31500,32400.002,32400.002,,6.8965459
"Services professionnels, scientifiques et techniques",26900,27000,26100,26900,27100,26200,26600,26000,27100,28700,28000,27600,27100,26400,27700,27400,27800,25900,26500,27000,27600,26400,26000,26000,25500,26200,28200,29000,28200,26800,27200,26600,26600,27100,28500,27900,28400,28200,28100,28100,27600,27900,28300,27000,26700,27400,28300,28300,27600,28200,27700,29200,30700,30400,31800,32000,32599.998,33800,32700,33900,33600,33600,,2.0408163
Commerce de gros et de détail,70400,69300,71600,71500,71500,72500,73800,73400,74500,73500,73000,74700,74800,76000,75300,77800,74000,75100,74400,75200,75400,74000,74600,76600,76700,78600,80400,82700,80500,75600,76000,77300,80400,79900,78600,79500,80200,82900,82500,81700,80700,80100,82600,82400,82300,79400,77400,71300,58300,64300.004,68700,70700,68000,68000,70000,71900,72600,70800,72200,72400,70900,70900,,3.799186
Administrations publiques,26100,26400,27200,27300,27800,27600,27300,27800,27400,28200,28300,27900,28500,28700,29900,29100,29300,28700,29200,27200,29100,29300,28500,28600,28700,27900,27500,29500,29100,28000,28200,28900,27400,28800,28600,29000,29000,29100,29300,30100,30800,30300,30200,28300,29300,29800,30100,29200,30100,32300,30000,31700,30700,29600,30200,29700,30200,30800,30300,30100,30600,30600,,.97087377
Services d'enseignement,38200,37000,37300,31500,29700,34600,36900,36700,36400,34800,35500,35400,35100,37300,36900,32000,30500,36100,38700,38700,38000,37800,38900,36600,38300,38000,37900,29600,30100,38700,38900,39200,38200,38800,38200,39100,38900,39400,38300,29200,29600,36400,36900,37200,36700,36200,36200,34100,34000,33900,34800,30200,32400.002,39900,42400,42200,41400,41600,40900,39700,41200,41200,,1.6706444
Soins de santé et assistance sociale,72600,73100,73900,74800,76500,75400,72700,73200,74300,73100,72500,73700,71700,70400,69200,70400,69900,68600,68500,67500,65900,65800,66700,66400,66500,66700,66600,66300,67300,65400,68700,66900,69600,69000,70700,70300,71600,72500,74100,74800,74500,73700,73900,73400,73400,69800,72800,72400,68000,66700,73600,72600,71300,73000,70400,72500,72900,73700,71600,72000,73500,73500,,.67567569
Services d'hébergement et de restauration,29500,30100,31500,32800,32099.998,27000,27400,27100,26700,27400,29700,29400,31200,32500,32400.002,32800,33400,30600,29300,29400,30500,30900,32400.002,33600,35600,37400,36300,36800,40400,37600,35700,33800,34700,33400,32300,31900,32099.998,34700,35800,38300,37900,36300,36200,34900,34300,35700,36100,28200,16800,20700,29200,28000,30400,31000,31600,30700,23700,22500,28400,27700,26900,26900,,5.2816901
Transport et entreposage,19100,19500,19700,20200,21300,19800,19500,19700,20000,19400,18400,18900,18000,18900,20400,20700,20100,21200,20500,20400,21600,19000,19200,19300,20100,19500,19400,18700,18900,19500,19900,19200,20600,19400,19100,20000,19200,19800,19800,19700,19300,19700,19800,19300,19300,18700,19000,19800,16900,16400,18900,18400,18500,19500,19500,20000,19900,22500,21900,22500,21600,21600,,8.0851068
Construction,29800,33700,34700,34900,36300,36000,35000,36000,33000,29800,27600,27000,29300,31900,32300,33700,33500,33900,32800,31800,32599.998,28700,30600,30200,31200,32800,33800,36300,36000,36200,36500,37200,34800,30900,30200,29700,32200,33900,34100,35500,37100,38700,37800,36700,33900,32000,31000,29200,26900,32300,33000,33500,35500,36600,36400,37300,35300,33500,30900,34700,34300,34300,,12.276215
Secteur des technologies de l'information et des communications,14300,14400,15700,16100,17400,16400,15900,15600,16200.001,15100,13300,13600,13900,14600,14700,16299.999,17900,17800,18000,17200,17400,16299.999,16299.999,16900,14400,14900,14100,13100,13200,14100,14900,14300,15600,16500,17300,19300,18900,20500,20400,18200,20200,19100,17400,18900,16700,16000,16700,18300,16400,17600,19800,21700,22000,22000,20700,20300,21500,19300,18500,18500,20400,20400,,4.6728973
