Secteur,"Emploi <br><i style=""font-size:80%;"">Ao�t 2024</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,452500.0,455.2,449.7,460.2,457.1,448.7,435.9,320.9,234.7,243.4,281.7,316.7,354.4,389.8,395.5,378.3,353.0,302.1,334.3,348.1,325.5,346.9,359.7,386.4,426.3,407.6,413.0,409.6,405.9,318.6,384.8,384.7,397.8,415.6,417.0,429.2,422.2,391.9,400.5,403.6,417.4,411.8,413.1,412.8,403.3,442.2,443.1,462.0,446.2,425.7,417.1,424.2,419.0,389.0,408.3,396.7,411.3,431.4,438.6,457.9,452.5,-0.11891163745822997,6.98869475847893
Construction,581600.0,588.0,585.1,573.5,558.0,532.8,538.0,525.2,449.2,481.8,548.3,553.1,558.1,549.4,544.9,548.9,541.8,505.2,502.0,506.0,521.2,535.0,556.1,558.0,562.6,559.9,550.9,562.3,545.1,538.7,549.8,557.7,581.5,591.9,605.8,620.6,616.5,603.8,596.1,596.4,596.9,564.7,567.1,572.3,590.9,612.6,618.2,617.7,624.6,606.8,600.5,603.6,573.3,556.3,554.7,573.2,565.6,578.9,576.1,579.4,581.6,-0.21864106504079217,4.514857987194221
L'économie numérique,1136600.0,872.8000000000001,868.0999999999999,886.3000000000001,884.0999999999999,879.8000000000001,851.8,838.5000000000001,810.2,819.3999999999999,865.3000000000002,895.8000000000001,884.3999999999999,882.5,918.8,911.4,916.6,935.7,929.4,951.0,938.5,944.7,983.3,1007.7999999999998,1019.1,1046.1,1046.6,1056.8000000000002,1022.4,1032.0,1014.7,1008.0,1015.9,1016.4,1050.1999999999998,1036.6,1044.0,1027.0,1018.3,1034.3,1069.2,1089.9,1068.4,1053.1,1072.9,1030.3,1065.9,1086.9,1099.1,1111.0,1104.7,1138.9,1120.6,1110.5,1134.4,1107.5,1125.8,1137.5000000000002,1155.3,1154.4,1136.6,5.423779736333967,3.399626041135473
Services d'enseignement,483900.0,534.0,549.2,559.8,563.7,552.3,558.5,506.2,500.3,475.2,488.7,412.3,435.7,543.3,564.3,547.4,559.9,543.7,578.0,586.3,538.8,537.7,538.5,458.7,463.4,573.6,579.7,585.4,600.7,576.4,591.0,576.4,590.6,593.6,583.4,460.2,445.7,555.9,584.9,590.0,583.0,577.7,589.5,572.8,583.9,580.2,570.8,474.0,455.1,571.4,601.4,603.1,605.4,612.2,612.7,601.9,605.1,594.3,599.6,489.4,483.9,-1.9510667474533117,18.121827411167512
Soins de santé et assistance sociale,1025700.0,900.7,898.3,899.6,902.3,906.2,905.6,835.9,780.1,778.9,835.9,848.5,872.6,880.7,855.4,873.4,863.0,867.9,871.4,892.2,874.7,885.7,919.4,911.8,910.8,907.5,906.9,920.1,921.0,922.7,940.9,938.8,930.0,929.4,922.7,931.6,936.4,928.3,941.7,946.0,933.3,957.4,963.4,969.8,964.2,958.7,968.1,983.7,975.2,980.1,991.3,976.4,964.8,963.7,969.4,991.9,990.2,1011.5,1015.6,1016.6,1025.7,2.6332398375375154,1.5642994241842567
Fabrication,822300.0,771.8,749.6,750.9,749.4,742.6,753.1,726.7,614.0,646.2,715.3,730.6,746.8,771.2,773.5,782.8,788.4,774.9,785.0,784.3,768.8,766.7,780.2,780.5,782.4,753.0,767.1,772.0,787.5,761.7,770.5,777.0,783.5,787.6,796.1,810.6,808.5,783.6,791.3,793.9,780.5,787.0,790.8,784.5,793.3,823.2,831.4,844.4,827.5,801.1,798.5,811.8,802.8,796.7,798.3,804.4,813.7,814.4,827.7,821.9,822.3,1.2756649205624582,3.508566064304164
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",35500.0,31.8,31.0,27.8,32.2,29.1,30.6,26.3,24.5,23.8,27.7,29.9,24.1,24.7,26.8,28.3,24.2,26.0,27.5,25.3,24.8,25.8,27.2,28.6,32.1,29.0,31.3,29.6,32.9,27.2,28.4,31.8,30.3,28.1,32.6,30.3,31.9,34.7,34.8,33.4,35.3,35.9,34.0,36.4,38.4,35.0,40.0,35.2,33.7,34.1,31.9,35.2,34.6,32.3,32.9,34.6,32.3,31.2,34.3,34.2,35.5,2.2257361326888603,3.0054644808743203
Autres services,289200.0,284.2,286.9,293.0,292.8,291.0,287.7,259.3,227.7,226.7,242.0,256.0,267.0,269.1,278.9,275.9,253.5,245.8,250.1,266.3,262.7,269.5,261.1,269.1,256.9,248.7,262.1,253.3,251.2,251.1,244.9,254.0,258.4,253.3,245.0,252.2,257.8,251.8,254.8,253.6,253.6,262.4,264.6,269.1,260.4,263.6,266.5,276.9,279.0,272.9,278.5,286.0,290.6,280.4,290.0,282.2,293.5,293.5,298.5,305.3,289.2,0.3494145266990545,5.335515548281511
"Services professionnels, scientifiques et techniques",902300.0,690.6,687.7,683.2,688.8,691.8,683.6,684.1,656.0,659.5,661.4,676.9,691.1,694.1,720.7,713.1,722.1,734.0,731.3,722.9,723.7,745.8,762.2,758.7,760.9,757.8,755.3,769.5,771.4,768.4,788.8,799.8,802.6,819.5,812.8,806.2,805.0,783.8,801.4,800.3,817.7,818.8,824.0,811.3,808.8,812.8,820.7,807.9,835.1,838.2,840.2,850.0,872.3,869.5,875.8,870.0,883.9,895.1,909.5,914.0,902.3,5.493299684211017,3.7443994026029492
Ensemble des industries,8121000.0,7484.3,7476.7,7503.8,7501.0,7409.9,7415.4,6943.4,6296.8,6369.9,6828.8,6937.0,7087.0,7202.4,7263.0,7300.1,7256.9,6984.2,7133.4,7271.0,7186.8,7255.3,7436.9,7483.2,7505.3,7520.9,7589.1,7660.2,7693.1,7432.1,7641.3,7646.8,7722.0,7847.0,7858.7,7825.3,7792.4,7682.4,7755.8,7778.4,7797.4,7754.1,7790.1,7799.8,7869.0,7979.0,8065.8,8005.8,7989.2,7910.0,7942.3,7965.5,7906.8,7842.5,7873.0,7897.3,7974.6,8127.6,8175.3,8145.2,8121.0,1.6463210632666758,8.319127558450646
Commerce de gros et de détail,1097900.0,1115.1,1107.8,1124.8,1145.2,1123.1,1132.0,1049.6,890.7,905.1,1024.1,1071.2,1078.7,1061.7,1097.4,1121.9,1134.9,1015.1,1047.9,1119.1,1085.0,1052.1,1106.1,1143.2,1127.6,1112.9,1156.8,1185.8,1208.4,1153.3,1159.9,1163.5,1166.2,1178.0,1169.1,1156.7,1153.0,1118.3,1112.3,1120.9,1122.8,1109.3,1125.9,1121.0,1138.4,1129.8,1141.2,1139.5,1154.7,1111.7,1101.5,1104.1,1105.0,1096.6,1080.4,1081.9,1103.7,1127.1,1112.0,1098.0,1097.9,-0.31041367203270553,4.155390659100822
