Sector,emp0,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,emp22,emp23,emp24,emp25,emp26,emp27,emp28,emp29,emp30,emp31,emp32,emp33,emp34,emp35,emp36,emp37,emp38,emp39,emp40,emp41,emp42,emp43,emp44,emp45,emp46,emp47,emp48,emp49,emp50,emp51,emp52,emp53,emp54,emp55,emp56,emp57,emp58,emp59,emp60,Employment,suffix,Unemployment_Rate
"Total, all industries",4196400,4197500,4126500,4129799.8,4156200.3,4174200.3,4265600,4314000,4282100,4256400,4233700,4244000,4246100,4232300,4184700.3,4202700,4198000,4258500,4338600,4392400,4395700,4382500,4376300,4363300,4298600,4305600,4252700,4278900,4003000,3478100,3806200,4115500,4178500,4204000,4251400,4235000,4213600,4178600,4014000,4138100,4155400,4171799.8,4257100,4395500,4383200,4328400,4350800,4344200,4359500,4330500,4198000,4293300,4316700,4305300,4416500,4461300,4442600,4424600,4423500,4442400,4432300,4432300,,3.4903977
Digital Economy,394700,422900,417000,434100,425400,431699.97,410300,424400,432399.97,414900,394700,386200,387100,403200,394900,415600,405500,401099.97,428400,434099.97,425500,418600,408099.97,393100,400800,409900,416599.97,436699.97,445300,389199.97,425400.03,437900,476300.03,462599.97,481599.97,474000,460699.97,455700,455300,424900.03,421900,421200,446900.03,440600,445699.97,461900.03,480800,470500,509900,478800,504400,524400,508599.97,500100,510700,514200,511200,528100,495800,493800,477100,477100,,1.4052554
Manufacturing,504200,495300,481300,481700,473900,482600,493600,498800,505800,503500,484000,486700,486500,487800,475600,480900,482700,484200,503900,503100,527700,524500,504800,502500,486700,490200,485400,490400,491600,381400,451900,475800,490600,500100,484900,475100,480700,479600,475800,483300,484200,478400,478300,484000,481200,478300,491500,477200,490300,487300,486300,488900,490600,491800,493000,509000,516000,499300,490000,492100,502200,502200,,1.9715011
Information and communication technologies,211900,213900,218300,230200,227300,229900,216600,222000,217400,206000,203700,202400,208000,211100,206700,210800,209700,202400,206200,208100,224100,217100,213400,193800,189400,203800,210700,219200,220900,208500,225500,227000,246600,235200,234400,230400,218200,223200,225700,198600,203400,209000,213600,208500,204900,223200,240100,239700,251200,240700,244400,258299.98,243500,235500,247800,244800,237300,277700,252000,247900,238600,238600,,2.2131147
Public administration,238100,236600,238800,245600,244200,236000,248800,250600,245000,246500,237700,231400,239800,235500,245000,247600,240900,250900,247100,254200,257600,253100,249100,252800,246000,242600,243100,240600,232200,229300,227900,239300,236300,237300,233400,236600,240800,241000,244400,244700,245300,252100,256900,250800,259799.98,265700,265900,263400,273500,265000,266500,260299.98,266400,274100,277200,280600,284800,276900,273200,270800,272800,272800,,2.4320457
Educational services,302800,305800,295700,297800,307000,299900,289500,284200,244200,240600,292900,301200,312500,310500,306400,308200,309700,310500,303900,303000,248900,253700,307200,313800,321600,316300,321300,330300,261299.98,275800,298300,307700,262500,257100,344200,359900,369200,365500,349600,370600,371800,378600,373100,378200,297800,293800,354500,364000,361500,365900,365900,366600,377100,364400,365600,358500,282300,276500,338800,345300,346100,346100,,.88774341
"Professional, scientific and technical services",316800,318300,320200,310900,315900,323900,325800,334500,336000,327000,320000,324400,332400,328200,341900,347200,350200,342600,351200,356500,355400,343700,338300,345900,339900,339400,337100,347200,343300,319600,334300,332300,339400,335500,335500,346700,358200,367300,353300,349000,347700,357100,361800,370200,374900,369600,369600,373300,383200,378700,370000,376500,360400,364300,373700,390700,387200,391300,392400,396100,392100,392100,,1.4576527
Health care and social assistance,572000,575800,572800,579600,586000,590100,576100,582100,594400,590900,586200,589300,586800,592900,598900,598700,590400,596900,600500,610100,615000,617300,610400,612700,612900,613600,608500,602400,581000,549700,564800,608700,615300,599200,591600,594200,592400,583600,573400,574500,590000,594100,592400,604900,614800,604400,600800,604700,608400,596500,602900,602200,603700,596400,603800,606300,609800,610800,611700,615200,606600,606600,,1.2373819
Transportation and warehousing,214700,215100,216200,217300,218600,215900,225700,225700,211900,216900,221500,222300,221400,221400,231300,228500,229500,233600,241400,248200,240200,241600,249400,249600,238200,241700,248600,244700,229200,199900,194300,227600,214100,218400,229200,235700,232000,235200,229900,234500,219700,219500,231100,235600,223100,216500,228700,229200,234000,232700,230200,231800,229800,228100,225900,228400,229100,229400,224300,218500,216900,216900,,2.1209385
Wholesale and retail trade,647000,653000,647900,643800,644800,649600,666200,667100,654800,641700,653700,667800,663200,663200,640700,639700,648500,670600,671200,660100,656700,652300,656800,662900,660500,669100,652000,652800,614400,524300,587300,631800,653100,667100,662200,662100,662600,670100,571700,631800,643400,633500,653300,664300,664700,661200,643100,654100,652600,647200,620900,631100,634600,636100,667600,660200,652100,661300,653100,647100,644900,644900,,2.3322732
Construction,265500,248600,211700,214400,223300,232000,251700,265800,262300,263200,269700,269600,268000,252900,231900,219100,221700,239900,264800,284300,291600,291200,297200,286600,296400,273900,253200,247300,248200,154100,234500,270100,276600,287600,287900,282400,276300,253700,251500,261600,258200.02,273500,287700,304200,304900,307500,308100,304500,292200,289800,263900,271300,274300,272100,299300,305900,314200,309000,302700,315100,309000,309000,,2.9522612
Accommodation and food services,266700,269200,255400,263700,268800,276600,288200,278800,280500,282200,270400,269300,259500,262900,247700,250300,239700,239200,250400,250300,266500,270900,271400,262200,246400,257200.02,246800,249300,184900,121100,129399.99,168200,219200,222800,227500,183900,169100,163700,159100,167200,173900,167200,159200,197000,211800,213300,198500,185300,188800,188300,146200,171100,183000,182900,184500,190600,209900,220100,221300,223600,224000,224000,,5.525095
