Secteur,"Emploi <br><i style=""font-size:80%;"">Juillet 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,34200.0,25.7,24.9,25.9,26.1,25.0,23.3,24.9,23.8,23.8,24.5,27.4,27.6,31.6,29.5,28.9,29.0,29.1,27.3,28.1,26.6,27.9,30.6,30.8,34.2,31.8,31.0,32.9,29.8,29.3,29.6,30.6,28.2,28.5,30.2,31.5,33.1,33.4,29.9,28.9,30.0,29.3,29.2,29.9,29.7,32.1,33.7,34.5,34.0,30.6,31.6,33.2,32.1,29.3,29.7,30.6,31.9,32.1,33.4,32.6,34.2,5.881137058060748,3.3898305084745672
Construction,50600.0,43.9,42.9,41.2,40.4,37.8,36.2,37.6,40.7,41.8,42.2,43.9,46.8,48.4,44.1,47.1,41.1,41.6,42.8,43.1,45.0,44.1,50.8,51.6,50.8,49.5,45.0,45.3,43.3,40.6,41.1,40.6,40.4,40.1,42.3,43.9,44.3,46.2,44.3,44.4,44.1,40.9,38.0,38.4,35.9,38.8,43.0,44.8,44.1,44.7,46.2,45.6,46.0,46.9,44.3,43.1,44.6,43.7,50.0,51.3,50.6,2.8814790897710996,5.243445692883886
L'économie numérique,45600.0,37.1,37.7,40.7,39.6,35.599999999999994,36.9,33.4,35.5,34.400000000000006,33.5,35.9,39.7,37.8,40.1,35.900000000000006,34.8,37.1,34.60000000000001,39.4,36.6,38.9,44.6,43.400000000000006,44.00000000000001,40.0,40.8,38.5,34.4,34.6,36.1,36.2,38.1,40.99999999999999,41.1,42.6,41.39999999999999,38.5,39.8,39.6,37.1,39.3,41.6,41.8,40.6,43.6,44.4,47.0,47.5,47.4,47.7,48.7,44.5,41.5,39.6,38.5,39.400000000000006,41.00000000000001,43.3,42.7,45.6,4.212109374010042,4.201680672268903
Services d'enseignement,43600.0,33.4,45.8,47.6,47.5,46.9,47.1,45.2,45.2,46.6,48.5,47.6,32.1,35.1,48.4,49.0,49.1,50.0,49.4,50.7,50.4,50.3,49.7,49.0,35.1,35.1,46.7,49.8,52.5,51.9,53.0,53.5,51.8,50.6,50.3,51.1,38.8,38.7,56.3,59.0,57.5,57.2,56.8,56.0,56.0,56.6,55.7,57.1,45.4,45.7,55.6,58.6,59.4,60.5,59.3,60.1,60.9,57.6,55.2,55.3,43.6,5.474628523205283,11.919191919191919
Soins de santé et assistance sociale,105000.0,82.0,82.4,83.2,83.5,82.8,85.7,83.9,87.0,86.9,88.3,87.1,85.7,86.2,86.9,90.7,89.7,88.7,87.4,88.6,90.4,90.7,92.1,93.9,93.7,93.4,96.2,95.1,92.4,91.4,91.6,90.2,90.5,91.4,93.6,93.7,91.6,89.5,85.0,87.6,85.8,87.5,90.8,91.5,91.6,91.2,91.6,93.1,95.2,93.7,94.7,96.1,97.2,97.9,96.7,99.4,99.7,100.1,103.0,104.9,105.0,5.06911866246349,1.869158878504673
Fabrication,29500.0,32.9,31.0,31.3,30.4,29.2,29.0,31.0,30.1,32.4,33.5,32.3,33.7,32.5,30.6,29.3,30.5,29.2,30.7,31.4,31.5,30.4,32.7,33.1,32.7,30.9,29.8,30.9,32.2,31.0,32.0,31.7,31.6,30.2,32.2,33.9,33.2,30.7,31.7,33.4,33.7,34.0,32.4,32.8,31.6,30.2,32.9,31.9,31.7,34.0,33.2,34.3,32.3,32.0,32.7,32.3,31.1,31.3,31.6,32.6,29.5,-2.1580220735650357,1.6666666666666718
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",23400.0,21.0,20.3,20.9,20.6,20.7,21.9,22.0,21.1,20.4,21.8,20.6,20.6,20.3,19.7,18.9,18.7,20.2,19.9,19.4,16.8,17.2,17.4,18.7,17.3,19.2,19.5,20.7,21.0,21.6,20.6,20.9,18.8,20.4,19.4,20.6,20.6,19.3,19.1,19.4,18.8,18.7,18.9,18.9,20.3,20.1,22.3,22.2,22.0,21.4,20.3,21.4,20.8,21.7,20.8,21.1,22.7,22.5,22.9,23.2,23.4,2.1878619308387304,2.500000000000002
Autres services,31000.0,28.5,28.7,29.1,29.3,27.5,28.1,25.9,25.6,25.5,25.2,28.0,26.8,26.1,25.1,24.0,23.4,22.4,24.1,27.3,27.2,25.6,28.3,27.6,28.1,27.7,26.0,26.1,26.7,27.2,26.2,26.0,25.3,25.6,26.7,24.2,25.6,26.0,25.6,26.2,25.8,26.6,27.6,25.7,26.0,26.0,26.8,26.9,27.7,26.2,26.0,24.8,25.0,24.1,24.3,24.2,24.4,26.1,27.5,29.7,31.0,1.6958818817865318,1.273885350318471
"Services professionnels, scientifiques et techniques",36700.0,26.1,24.9,25.8,26.6,26.7,25.9,26.2,26.5,27.0,26.6,26.4,24.9,25.5,25.8,25.3,23.9,25.8,25.0,25.1,24.6,26.3,29.1,31.2,31.3,29.8,29.2,30.0,28.8,29.8,29.8,30.6,31.4,32.6,34.7,35.2,35.5,35.0,37.1,37.2,37.1,38.9,38.6,38.3,37.5,37.1,39.5,38.8,39.3,38.5,36.2,33.4,31.7,31.9,31.7,30.9,31.8,33.0,33.1,34.5,36.7,7.05454534301877,2.910052910052896
Ensemble des industries,628800.0,551.3,563.5,562.5,553.6,545.6,542.1,541.4,542.0,549.6,566.8,574.0,561.3,570.2,569.2,563.8,558.3,561.4,559.7,568.5,565.5,569.4,588.9,596.7,585.7,585.2,580.1,582.8,577.1,574.2,574.7,575.1,572.9,573.7,590.9,598.7,586.1,588.3,591.9,599.6,595.6,596.0,587.7,591.7,585.5,589.3,611.5,616.3,611.2,608.6,609.0,607.8,602.3,606.0,597.6,600.7,605.3,610.4,627.8,636.8,628.8,2.665590190390721,5.4862468059522
