date,geography,occupation,characteristics,estimate
April 2021,Alberta,0211 Engineering managers,Employment,4.4000001
April 2021,Alberta,0211 Engineering managers,Labour Force,4.9000001
April 2021,Alberta,0213 Computer and information systems managers,Employment,6.0999999
April 2021,Alberta,0213 Computer and information systems managers,Labour Force,6.0999999
April 2021,Alberta,0601 Corporate sales managers,Employment,0
April 2021,Alberta,0601 Corporate sales managers,Labour Force,0
April 2021,Alberta,"1123 Professional occupations in advertising, marketing and public relations",Employment,23.6
April 2021,Alberta,"1123 Professional occupations in advertising, marketing and public relations",Labour Force,24.700001
April 2021,Alberta,1253 Records management technicians,Employment,0
April 2021,Alberta,1253 Records management technicians,Labour Force,0
April 2021,Alberta,2133 Electrical and electronics engineers,Employment,3.7
April 2021,Alberta,2133 Electrical and electronics engineers,Labour Force,3.7
April 2021,Alberta,2147 Computer engineers (except software engineers and designers),Employment,0
April 2021,Alberta,2147 Computer engineers (except software engineers and designers),Labour Force,0
April 2021,Alberta,"2148 Other professional engineers, n.e.c.",Employment,0
April 2021,Alberta,"2148 Other professional engineers, n.e.c.",Labour Force,0
April 2021,Alberta,"2161 Mathematicians, statisticians and actuaries",Employment,0
April 2021,Alberta,"2161 Mathematicians, statisticians and actuaries",Labour Force,0
April 2021,Alberta,2171 Information systems analysts and consultants,Employment,28
April 2021,Alberta,2171 Information systems analysts and consultants,Labour Force,28.299999
April 2021,Alberta,2172 Database analysts and data administrators,Employment,4.9000001
April 2021,Alberta,2172 Database analysts and data administrators,Labour Force,4.9000001
April 2021,Alberta,2173 Software engineers and designers,Employment,6.5999999
April 2021,Alberta,2173 Software engineers and designers,Labour Force,6.5999999
April 2021,Alberta,2174 Computer programmers and interactive media developers,Employment,9.3000002
April 2021,Alberta,2174 Computer programmers and interactive media developers,Labour Force,9.3000002
April 2021,Alberta,2175 Web designers and developers,Employment,3.5999999
April 2021,Alberta,2175 Web designers and developers,Labour Force,4.1999998
April 2021,Alberta,2241 Electrical and electronics engineering technologists and technicians,Employment,4.6999998
