Province,Population,GDP,Employment,Average_Salary,links_en,DE_pct
Alberta,4442879,319706000000,209900,85322.945,https://www.etalentcanada.ca/employment-data/alberta/,9.3584204
British Columbia,5214805,265769000000,311000,80356.625,https://www.etalentcanada.ca/employment-data/british-columbia/,13.865977
Manitoba,1383765,65137000000,46500,71160.898,https://www.etalentcanada.ca/employment-data/manitoba/,2.0732088
New Brunswick,789225,32772000000,29100,69978.852,https://www.etalentcanada.ca/employment-data/new-brunswick/,1.2974275
Newfoundland and Labrador,520553,32325000000,14900,72142.688,https://www.etalentcanada.ca/employment-data/newfoundland-and-labrador/,.6643185
Nova Scotia,992055,40662000000,43800,68046.859,https://www.etalentcanada.ca/employment-data/nova-scotia/,1.952829
Ontario,14826276,762164000000,1025900,83508.68,https://www.etalentcanada.ca/employment-data/ontario/,45.739895
Prince Edward Island,164318,6457000000,7500,61012.977,https://www.etalentcanada.ca/employment-data/prince-edward-island/,.33438852
Québec,8604495,385599000000,510700,77172.094,https://www.etalentcanada.ca/employment-data/quebec/,22.76963
Saskatchewan,1179844,82552000000,43600,77235.359,https://www.etalentcanada.ca/employment-data/saskatchewan/,1.9439119
