province,Titre,Population,PIB,Emploi,Salaire_moyen,links_fr,DE_pct
Alberta,Alberta,4421876,347102000000,209500,83196.453,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/alberta/,9.3862009
British Columbia,Colombie-Britannique,5147712,271789000000,320199.97,77831.664,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/colombie-britannique/,14.345878
Manitoba,Manitoba,1379263,68060000000,49300.004,70777.594,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/manitoba/,2.2087815
New Brunswick,Nouveau Brunswick,781476,33568000000,26000,69096.008,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/nouveau-brunswick/,1.1648746
Newfoundland and Labrador,Terre-Neuve et Labrador,522103,34075000000,15100,73411.391,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/terre-neuve-et-labrador/,.67652333
Nova Scotia,Nouvelle-Écosse,979351,41453000000,39900,67671.094,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/nouvelle-ecosse/,1.7876345
Ontario,Ontario,14734014,798213000000,1047900,81406.914,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/ontario/,46.948925
Prince Edward Island,Île-du-Prince-Édouard,159625,6644000000,5600,59501.105,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/ile-du-prince-edouard/,.25089607
Québec,Québec,8574571,407590000000,480800,76531.891,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/quebec/,21.541218
Saskatchewan,Saskatchewan,1178681,86611000000,37900,76364.383,https://www.etalentcanada.ca/fr/donnees-sur-lemploi/saskatchewan/,1.6980287
